# Revision History
# Author,OpenAI Codex
# Date,2026-06-26
# Change,Initial repository export generated by Get_Repositories.py v1.0.0

# File Description
# Summary,"Repository data read from a GitHub organization and filtered automatically by visibility, archive status, and activity cutoff."
# Generation Process,Two-stage process: stage 1 automated export by script; stage 2 optional manual filtering if repository-side tags or metadata are missing.
# Source Script,Get_Repositories.py v1.0.0
# Suggested Workflows,"Excel review, manual repository qualification, and follow-on automation workflows that consume repository lists."
# Organization,arm-software
# Activity Cutoff,2024-06-01

# Field Descriptions
# repository,Repository name in the selected GitHub organization.
# last_push,Timestamp of the latest push reported by GitHub.
# visibility,Normalized repository visibility status after API readout.
# archived,Archive flag returned by GitHub for the repository.
# unique_visitors_14d,Unique repository visitors in the last 14 days.
# unique_cloners_14d,Unique repository cloners in the last 14 days.
# total_views_14d,Total repository page views in the last 14 days.
# traffic_status,"Traffic readout result, for example OK or an API access message."

repository,last_push,visibility,archived,unique_visitors_14d,unique_cloners_14d,total_views_14d,traffic_status
AVH,2026-06-26T09:12:19Z,PUBLIC,FALSE,62,108,178,OK
lavatube,2026-06-26T08:56:58Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
sysarch-acs,2026-06-26T08:43:51Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
armnn,2026-06-26T08:37:26Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
gfxreconstruct-arm,2026-06-26T07:18:11Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
CMSIS-NN,2026-06-25T13:51:01Z,PUBLIC,FALSE,361,24354,1411,OK
spirv-simulator,2026-06-25T13:12:11Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
ComputeLibrary,2026-06-25T11:47:58Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
lisa,2026-06-25T11:21:52Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
arm-systemready,2026-06-25T10:53:47Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
VectorSimilarity-for-Arm,2026-06-25T07:13:15Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
kleidiai,2026-06-24T15:15:36Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
golang-utils,2026-06-24T14:49:00Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
sbmr-acs,2026-06-24T14:32:40Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
psa-api,2026-06-24T14:07:15Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
tracetooltests,2026-06-24T13:09:18Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
bob-build,2026-06-24T12:31:25Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
libcollector,2026-06-24T11:54:15Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
rme-sysarch-acs,2026-06-24T07:29:36Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
MDK-Middleware,2026-06-24T04:44:02Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
acle,2026-06-23T13:05:53Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
CMSIS-DAP,2026-06-23T12:58:13Z,PUBLIC,FALSE,201,79,794,OK
arm-trusted-firmware,2026-06-23T04:40:43Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
CMSIS_6,2026-06-22T23:12:36Z,PUBLIC,FALSE,955,18745,3562,OK
Arm-2D,2026-06-22T22:04:20Z,PUBLIC,FALSE,159,78,333,OK
CMSIS-FreeRTOS,2026-06-22T19:33:44Z,PUBLIC,FALSE,251,449,1251,OK
astc-encoder,2026-06-22T16:03:17Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
CMSIS-RTOS2_Validation,2026-06-22T15:03:14Z,PUBLIC,FALSE,22,71,75,OK
Tool-Solutions,2026-06-22T14:03:35Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
SDS-Framework,2026-06-22T13:05:49Z,PUBLIC,FALSE,50,155,272,OK
cmsis-actions,2026-06-22T12:22:54Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
CMSIS-Driver,2026-06-22T11:53:51Z,PUBLIC,FALSE,80,166,289,OK
CMSIS-Driver_Validation,2026-06-22T09:27:33Z,PUBLIC,FALSE,25,45,122,OK
CMSIS-Compiler,2026-06-22T07:03:52Z,PUBLIC,FALSE,161,66,323,OK
Cortex_DFP,2026-06-22T06:42:49Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
CMSIS-DSP,2026-06-22T05:42:22Z,PUBLIC,FALSE,1129,2200,4480,OK
CMSIS-RTX,2026-06-22T04:52:42Z,PUBLIC,FALSE,122,533,413,OK
embedded-development-services-client-utils,2026-06-19T17:32:46Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
optimized-routines,2026-06-18T08:13:32Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
bbr-acs,2026-06-11T10:37:31Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
zipcontainer,2026-06-10T12:55:13Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
labgrid,2026-06-10T09:32:39Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
embedded-development-services-client,2026-06-09T01:40:28Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
adac-rs,2026-06-05T19:08:37Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
tarmac-trace-utilities,2026-06-05T15:05:26Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
CMSIS-Stream,2026-06-04T06:40:42Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
EndpointAI,2026-05-26T07:40:03Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
traceui,2026-05-21T23:00:37Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
ebbr,2026-05-20T14:10:34Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
CSAL,2026-05-14T08:32:54Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
progress64,2026-05-13T08:18:14Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
edge-iot-arch-guide,2026-05-12T11:25:13Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
ACI-GetStarted,2026-05-08T10:19:11Z,PUBLIC,FALSE,11,26,28,OK
libGPUCounters,2026-05-08T10:09:17Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
ff-a-acs,2026-05-07T06:28:54Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
abi-aa,2026-05-05T08:20:54Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
data,2026-05-01T15:27:38Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
cca-rmm-acs,2026-04-28T08:53:59Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
libGPULayers,2026-04-21T12:10:21Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
libGPUInfo,2026-04-21T12:07:51Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
Vulkan-Samples,2026-04-21T08:35:18Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
CMSIS-CV,2026-04-20T18:31:22Z,PUBLIC,FALSE,9,68,40,OK
vscode-device-manager,2026-04-17T12:05:55Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
psa-arch-tests,2026-04-17T09:30:24Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
vscode-embedded-debug,2026-04-16T10:12:14Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
vscode-arm-debugger,2026-04-16T08:39:45Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
gator,2026-04-13T18:44:56Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
devtools,2026-03-23T06:47:39Z,PUBLIC,FALSE,12,17,20,OK
AVH-MLOps,2026-03-17T14:28:32Z,PUBLIC,FALSE,4,23,8,OK
vscode-environment-manager,2026-03-13T17:26:46Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
mango,2026-03-11T18:13:13Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
CMSIS-View,2026-03-06T13:03:02Z,PUBLIC,FALSE,56,11913,82,OK
mram_simulation_framework,2026-03-02T14:58:21Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
CMSIS-Zone,2026-02-26T13:58:55Z,PUBLIC,FALSE,18,28,31,OK
vscode-keil-studio-pack,2026-02-17T17:00:12Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
CMSIS-mbedTLS,2026-02-05T16:44:34Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
psa-acs-common-val,2026-01-07T17:01:55Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
PAF,2025-11-20T15:45:21Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
arm-performance-studio-integration-for-godot,2025-10-01T15:31:23Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
vktrace-arm,2025-09-22T05:25:17Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
r-profile-user-guide-examples,2025-09-15T11:30:20Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
patrace,2025-09-09T14:51:47Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
synchronization-benchmarks,2025-07-31T21:36:19Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
coresight-wire-protocol,2025-07-10T10:44:05Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
infra-microbenchmarks,2025-06-04T04:14:36Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
cmsis-pack-eclipse,2025-05-27T10:15:29Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
AArch64cryptolib,2025-05-27T09:23:15Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
LLVM-embedded-toolchain-for-Arm,2025-05-12T13:46:44Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
ethos-n-driver-stack,2025-04-01T11:26:53Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
secure-debug-manager,2025-03-18T18:04:32Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
android-nn-driver,2025-02-19T18:01:29Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
MDK-Toolbox,2025-02-11T09:26:46Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
m-profile-user-guide-examples,2025-01-27T06:47:39Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
vscode-virtual-hardware,2025-01-24T13:39:27Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
vscode-remote-build,2024-12-18T16:56:46Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
avhclient,2024-12-13T08:59:10Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
.github,2024-12-02T13:32:40Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
PMUv3_plugin,2024-10-30T07:09:32Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
llram-kernel-driver-for-Cortex-R,2024-10-17T10:30:39Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
opengl-es-sdk-for-android,2024-10-08T13:50:13Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
libGPUMan,2024-09-18T12:15:15Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
vulkan_best_practice_for_mobile_developers,2024-08-06T14:42:05Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
