# Revision History
# Author,OpenAI Codex
# Date,2026-06-26
# Change,Initial repository export generated by Get_Repositories.py v1.0.0

# File Description
# Summary,"Repository data read from a GitHub organization and filtered automatically by visibility, archive status, and activity cutoff."
# Generation Process,Two-stage process: stage 1 automated export by script; stage 2 optional manual filtering if repository-side tags or metadata are missing.
# Source Script,Get_Repositories.py v1.0.0
# Suggested Workflows,"Excel review, manual repository qualification, and follow-on automation workflows that consume repository lists."
# Organization,open-cmisis-pack
# GitHub API Organization,Open-CMSIS-Pack
# Activity Cutoff,2024-06-01

# Field Descriptions
# repository,Repository name in the selected GitHub organization.
# last_push,Timestamp of the latest push reported by GitHub.
# visibility,Normalized repository visibility status after API readout.
# archived,Archive flag returned by GitHub for the repository.
# unique_visitors_14d,Unique repository visitors in the last 14 days.
# unique_cloners_14d,Unique repository cloners in the last 14 days.
# total_views_14d,Total repository page views in the last 14 days.
# traffic_status,"Traffic readout result, for example OK or an API access message."

repository,last_push,visibility,archived,unique_visitors_14d,unique_cloners_14d,total_views_14d,traffic_status
vscode-cmsis-solution,2026-06-26T09:42:25Z,PUBLIC,FALSE,62,471,1704,OK
vscode-cmsis-debugger,2026-06-26T09:39:16Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
STM32WLxx_DFP,2026-06-26T09:02:14Z,PUBLIC,FALSE,12,60,29,OK
devtools,2026-06-26T08:35:05Z,PUBLIC,FALSE,122,464,698,OK
vscode-cmsis-sds,2026-06-26T07:28:29Z,PUBLIC,FALSE,15,338,854,OK
cbuild2cmake,2026-06-25T09:32:00Z,PUBLIC,FALSE,33,122,86,OK
STM32H7xx_DFP,2026-06-24T15:59:42Z,PUBLIC,FALSE,137,80,313,OK
cmsis-toolbox,2026-06-24T11:50:35Z,PUBLIC,FALSE,335,232,990,OK
vsce-helper,2026-06-23T02:53:15Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
gen-pack-action,2026-06-22T16:43:00Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
workflows-and-actions-collection,2026-06-22T14:14:39Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
csolution-rpc,2026-06-22T11:13:42Z,PUBLIC,FALSE,5,41,10,OK
debug-adapter-registry,2026-06-22T10:43:49Z,PUBLIC,FALSE,4,50,13,OK
gen-pack,2026-06-22T04:52:41Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
vscode-get-started,2026-06-22T00:04:16Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
cbuild,2026-06-21T19:22:30Z,PUBLIC,FALSE,38,191,59,OK
vidx2pidx,2026-06-21T15:12:39Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
cpackget,2026-06-21T07:32:26Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
generator-bridge,2026-06-21T02:03:21Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
Open-CMSIS-Pack-Spec,2026-06-21T01:02:09Z,PUBLIC,FALSE,,,,RESTRICTED: Must have push access to repository
csolution-examples,2026-06-15T13:01:15Z,PUBLIC,FALSE,43,284,287,OK
NXP_IMXRT1050-EVKB_BSP,2026-06-05T11:34:24Z,PUBLIC,FALSE,1,24,1,OK
